0.488	0.099	0.283	0.333	0.116	0.293	H4
0.107	0.008	0.204	0.150	0.032	0.159	H4
0.246	0.202	0.277	0.178	0.237	0.483	H4
0.330	0.125	0.356	0.268	0.366	0.397	H4
0.257	0.314	0.328	0.140	0.128	0.335	H4
0.205	0.330	0.253	0.295	0.115	0.224	H4
0.330	0.161	0.232	0.122	0.133	0.394	H4
0.173	0.187	0.203	0.192	0.168	0.239	H4
0.172	0.503	0.138	0.239	0.137	0.366	H4
0.195	0.369	0.130	0.152	0.211	0.428	H4
0.281	0.322	0.272	0.225	0.235	0.178	H4
0.211	0.417	0.225	0.138	0.150	0.390	H4
0.279	0.481	0.331	0.219	0.182	0.402	H4
0.341	0.429	0.231	0.217	0.147	0.397	H4
0.230	0.429	0.178	0.237	0.188	0.324	H4
0.277	0.391	0.383	0.252	0.235	0.477	H4
0.329	0.528	0.330	0.271	0.192	0.375	H4
0.053	0.054	0.180	0.328	0.123	0.165	H4
0.152	0.031	0.227	0.357	0.467	0.168	H4
0.269	0.001	0.158	0.167	0.098	0.212	H4
0.042	0.093	0.272	0.318	0.332	0.225	H4
0.179	0.091	0.242	0.324	0.523	0.323	H4
0.432	0.094	0.176	0.258	0.365	0.281	H4
0.247	0.136	0.130	0.239	0.251	0.184	H4
0.328	0.153	0.357	0.281	0.363	0.199	H4
0.215	0.203	0.190	0.206	0.320	0.286	H4
0.433	0.178	0.305	0.190	0.302	0.330	H4
0.294	0.113	0.232	0.247	0.315	0.208	H4
0.244	0.368	0.380	0.207	0.232	0.379	H4
0.199	0.211	0.230	0.366	0.424	0.369	H4
0.286	0.137	0.202	0.291	0.378	0.267	H4
0.219	0.138	0.204	0.227	0.283	0.361	H4
0.261	0.132	0.259	0.197	0.302	0.158	H4
0.284	0.295	0.309	0.337	0.338	0.400	H4
0.257	0.159	0.327	0.187	0.284	0.424	H4
0.251	0.221	0.233	0.188	0.299	0.339	H4
0.237	0.159	0.281	0.177	0.326	0.300	H4
0.298	0.135	0.285	0.151	0.239	0.376	H4
0.288	0.160	0.234	0.212	0.330	0.217	H4
0.233	0.202	0.278	0.178	0.321	0.334	H4
0.299	0.187	0.331	0.294	0.429	0.387	H4
0.202	0.257	0.335	0.171	0.399	0.297	H4
0.348	0.296	0.476	0.212	0.074	0.374	H4
0.369	0.328	0.283	0.118	0.127	0.386	H4
0.186	0.351	0.282	0.192	0.209	0.394	H4
0.270	0.288	0.377	0.230	0.139	0.396	H4
0.216	0.330	0.385	0.224	0.180	0.335	H4
0.320	0.096	0.383	0.125	0.071	0.321	H3
0.167	0.202	0.305	0.160	0.102	0.158	H3
0.228	0.281	0.171	0.091	0.222	0.294	H3
0.108	0.124	0.306	0.166	0.110	0.237	H3
0.253	0.202	0.300	0.186	0.133	0.280	H3
0.303	0.134	0.256	0.142	0.131	0.192	H3
0.274	0.131	0.232	0.157	0.169	0.296	H3
0.225	0.335	0.178	0.268	0.121	0.252	H3
0.180	0.123	0.137	0.122	0.228	0.245	H3
0.195	0.125	0.232	0.174	0.219	0.338	H3
0.219	0.139	0.181	0.171	0.224	0.264	H3
0.234	0.327	0.129	0.229	0.125	0.200	H3
0.279	0.244	0.179	0.134	0.151	0.152	H3
0.114	0.435	0.208	0.133	0.169	0.385	H3
0.175	0.402	0.134	0.245	0.169	0.377	H3
0.170	0.327	0.156	0.140	0.168	0.307	H3
0.217	0.471	0.184	0.125	0.108	0.426	H3
0.252	0.465	0.278	0.227	0.228	0.330	H3
0.299	0.003	0.284	0.375	0.171	0.186	H3
0.344	0.165	0.178	0.305	0.347	0.139	H3
0.159	0.032	0.258	0.244	0.335	0.191	H3
0.240	0.138	0.180	0.223	0.333	0.153	H3
0.187	0.238	0.232	0.198	0.297	0.221	H3
0.278	0.170	0.282	0.241	0.440	0.287	H3
0.285	0.261	0.205	0.280	0.105	0.200	H3
0.134	0.219	0.135	0.240	0.110	0.232	H3
0.230	0.180	0.227	0.200	0.117	0.158	H3
0.195	0.225	0.131	0.243	0.184	0.124	H3
0.448	0.391	0.604	0.465	0.143	0.607	H2
0.323	0.215	0.378	0.118	0.381	0.422	H2
0.104	0.256	0.456	0.263	0.428	0.238	H2
0.102	0.213	0.378	0.170	0.167	0.429	H2
0.196	0.043	0.277	0.173	0.179	0.233	H2
0.229	0.133	0.306	0.223	0.110	0.309	H2
0.278	0.132	0.281	0.191	0.153	0.226	H2
0.241	0.186	0.228	0.227	0.200	0.231	H2
0.207	0.121	0.307	0.136	0.160	0.140	H2
0.163	0.088	0.252	0.176	0.225	0.170	H2
0.253	0.237	0.255	0.125	0.163	0.218	H2
0.277	0.192	0.305	0.172	0.284	0.292	H2
0.186	0.386	0.180	0.196	0.221	0.398	H2
0.418	0.069	0.581	0.423	0.261	0.325	H2
0.238	0.174	0.128	0.317	0.471	0.283	H2
0.198	0.231	0.403	0.264	0.332	0.197	H2
0.180	0.195	0.228	0.217	0.334	0.162	H2
0.242	0.185	0.260	0.195	0.331	0.188	H2
0.287	0.202	0.181	0.291	0.325	0.267	H2
0.216	0.233	0.232	0.196	0.337	0.238	H2
0.308	0.054	0.276	0.320	0.133	0.166	H2
0.129	0.050	0.126	0.107	0.134	0.189	H2
0.285	0.246	0.227	0.205	0.134	0.176	H2
0.139	0.122	0.284	0.221	0.105	0.172	H2
0.323	0.116	0.528	0.354	0.149	0.298	H1
0.102	0.169	0.080	0.103	0.027	0.087	H1
0.198	0.137	0.309	0.332	0.125	0.034	H1
0.110	0.107	0.126	0.111	0.185	0.291	H1
0.173	0.242	0.360	0.175	0.268	0.191	H1
0.417	0.161	0.526	0.262	0.169	0.377	H1
0.123	0.184	0.231	0.354	0.468	0.245	H1
0.166	0.134	0.128	0.148	0.348	0.228	H1
0.128	0.122	0.228	0.184	0.327	0.126	H1
0.314	0.264	0.300	0.297	0.031	0.169	H1
